photo_id,filename,capture_date,file_type,file_size_mb,camera_model,lens_model,focal_length,aperture,shutter_speed,iso,location,time_of_day,folder_path,collections,keywords,color_label,star_rating,flag_status,has_edits,edit_count,last_modified_date,shoot_id,genre
photo_000012,IMG_0012.ARW,2022-01-04 00:01:40,ARW,16.69,Sony A7 IV,24-120mm f/4,50,5.6,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],"[""urban""]",red,1,rejected,False,0,2022-01-04 00:01:40.000000,0,street
photo_000013,IMG_0013.ARW,2022-01-04 00:35:26,ARW,40.49,Sony A7 IV,24-120mm f/4,50,5.6,0.002,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 00:35:26.000000,0,street
photo_000014,IMG_0014.ARW,2022-01-04 03:07:41,ARW,33.54,Sony A7 IV,24-120mm f/4,50,5.6,0.003125,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 03:07:41.000000,0,street
photo_000015,IMG_0015.ARW,2022-01-04 02:26:53,ARW,31.56,Sony A7 IV,24-120mm f/4,35,8.0,0.002,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,2,unflagged,False,0,2022-01-04 02:26:53.000000,0,street
photo_000016,IMG_0016.JPG,2022-01-04 01:24:12,JPG,7.63,Sony A7 IV,24-120mm f/4,24,4.0,0.003125,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 01:24:12.000000,0,street
photo_000017,IMG_0017.ARW,2022-01-04 00:17:49,ARW,42.12,Sony A7 IV,24-120mm f/4,35,5.6,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,False,0,2022-01-04 00:17:49.000000,0,street
photo_000018,IMG_0018.ARW,2022-01-04 02:52:00,ARW,19.41,Sony A7 IV,24-120mm f/4,35,5.6,0.002,1600,"Austin, TX",night,/2022/2022-01-04/,[],"[""candid""]",yellow,0,unflagged,False,0,2022-01-04 02:52:00.000000,0,street
photo_000019,IMG_0019.ARW,2022-01-04 03:55:09,ARW,34.0,Sony A7 IV,24-120mm f/4,35,8.0,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 03:55:09.000000,0,street
photo_000020,IMG_0020.ARW,2022-01-04 03:29:59,ARW,20.46,Sony A7 IV,24-120mm f/4,24,4.0,0.003125,200,"Austin, TX",night,/2022/2022-01-04/,[],"[""documentary""]",,2,unflagged,False,0,2022-01-04 03:29:59.000000,0,street
photo_000021,IMG_0021.ARW,2022-01-04 03:14:54,ARW,20.07,Sony A7 IV,24-120mm f/4,35,4.0,0.008,200,"Austin, TX",night,/2022/2022-01-04/,[],"[""documentary""]",,0,unflagged,False,0,2022-01-04 03:14:54.000000,0,street
photo_000022,IMG_0022.ARW,2022-01-04 03:24:42,ARW,30.1,Sony A7 IV,24-120mm f/4,24,5.6,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,True,5,2022-01-07 09:52:24.154724,0,street
photo_000023,IMG_0023.JPG,2022-01-04 00:08:32,JPG,4.96,Sony A7 IV,24-120mm f/4,50,8.0,0.004,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,True,4,2022-01-13 18:03:24.685973,0,street
photo_000024,IMG_0024.JPG,2022-01-04 03:06:33,JPG,5.58,Sony A7 IV,24-120mm f/4,50,5.6,0.008,800,"Austin, TX",night,/2022/2022-01-04/,[],"[""urban""]",,0,unflagged,False,0,2022-01-04 03:06:33.000000,0,street
photo_000025,IMG_0025.ARW,2022-01-04 01:04:30,ARW,24.82,Sony A7 IV,24-120mm f/4,35,4.0,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],"[""candid""]",,2,unflagged,False,0,2022-01-04 01:04:30.000000,0,street
photo_000026,IMG_0026.JPG,2022-01-04 00:54:21,JPG,6.3,Sony A7 IV,24-120mm f/4,35,8.0,0.008,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,1,unflagged,False,0,2022-01-04 00:54:21.000000,0,street
photo_000027,IMG_0027.JPG,2022-01-04 02:40:45,JPG,6.57,Sony A7 IV,24-120mm f/4,24,4.0,0.003125,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,3,unflagged,False,0,2022-01-04 02:40:45.000000,0,street
photo_000028,IMG_0028.ARW,2022-01-04 00:15:40,ARW,19.82,Sony A7 IV,24-120mm f/4,24,4.0,0.004,200,"Austin, TX",night,/2022/2022-01-04/,[],"[""urban""]",,0,unflagged,False,0,2022-01-04 00:15:40.000000,0,street
photo_000029,IMG_0029.ARW,2022-01-04 03:06:48,ARW,44.47,Sony A7 IV,24-120mm f/4,50,4.0,0.004,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,rejected,False,0,2022-01-04 03:06:48.000000,0,street
photo_000030,IMG_0030.ARW,2022-01-04 02:57:01,ARW,35.06,Sony A7 IV,24-120mm f/4,50,8.0,0.008,400,"Austin, TX",night,/2022/2022-01-04/,[],[],yellow,0,unflagged,False,0,2022-01-04 02:57:01.000000,0,street
photo_000031,IMG_0031.ARW,2022-01-04 02:27:09,ARW,27.76,Sony A7 IV,24-120mm f/4,24,8.0,0.004,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 02:27:09.000000,0,street
photo_000032,IMG_0032.ARW,2022-01-04 01:10:11,ARW,29.43,Sony A7 IV,24-120mm f/4,35,4.0,0.008,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 01:10:11.000000,0,street
photo_000033,IMG_0033.ARW,2022-01-04 01:31:58,ARW,39.3,Sony A7 IV,24-120mm f/4,24,4.0,0.004,1600,"Austin, TX",night,/2022/2022-01-04/,[],"[""documentary""]",,0,picked,False,0,2022-01-04 01:31:58.000000,0,street
photo_000034,IMG_0034.JPG,2022-01-04 02:42:00,JPG,9.44,Sony A7 IV,24-120mm f/4,35,5.6,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],[],red,3,unflagged,False,0,2022-01-04 02:42:00.000000,0,street
photo_000035,IMG_0035.JPG,2022-01-04 01:04:28,JPG,7.93,Sony A7 IV,24-120mm f/4,50,8.0,0.008,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,1,unflagged,False,0,2022-01-04 01:04:28.000000,0,street
photo_000036,IMG_0036.ARW,2022-01-04 03:44:16,ARW,39.44,Sony A7 IV,24-120mm f/4,50,4.0,0.008,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 03:44:16.000000,0,street
photo_000037,IMG_0037.ARW,2022-01-04 03:06:15,ARW,26.31,Sony A7 IV,24-120mm f/4,50,5.6,0.004,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,False,0,2022-01-04 03:06:15.000000,0,street
photo_000038,IMG_0038.ARW,2022-01-04 02:01:53,ARW,31.31,Sony A7 IV,24-120mm f/4,35,4.0,0.004,1600,"Austin, TX",night,/2022/2022-01-04/,[],"[""candid""]",yellow,0,unflagged,False,0,2022-01-04 02:01:53.000000,0,street
photo_000039,IMG_0039.ARW,2022-01-04 00:58:38,ARW,38.82,Sony A7 IV,24-120mm f/4,50,5.6,0.008,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,False,0,2022-01-04 00:58:38.000000,0,street
photo_000040,IMG_0040.ARW,2022-01-04 01:38:51,ARW,37.32,Sony A7 IV,24-120mm f/4,50,4.0,0.004,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,False,0,2022-01-04 01:38:51.000000,0,street
photo_000041,IMG_0041.JPG,2022-01-04 01:40:06,JPG,8.77,Sony A7 IV,24-120mm f/4,50,5.6,0.008,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,picked,False,0,2022-01-04 01:40:06.000000,0,street
photo_000042,IMG_0042.ARW,2022-01-04 03:02:37,ARW,34.23,Sony A7 IV,24-120mm f/4,24,4.0,0.003125,800,"Austin, TX",night,/2022/2022-01-04/,[],"[""city""]",,0,unflagged,False,0,2022-01-04 03:02:37.000000,0,street
photo_000043,IMG_0043.ARW,2022-01-04 03:11:12,ARW,27.03,Sony A7 IV,24-120mm f/4,35,4.0,0.003125,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,2,unflagged,False,0,2022-01-04 03:11:12.000000,0,street
photo_000044,IMG_0044.ARW,2022-01-04 02:53:10,ARW,41.16,Sony A7 IV,24-120mm f/4,35,5.6,0.008,800,"Austin, TX",night,/2022/2022-01-04/,[],[],yellow,0,unflagged,False,0,2022-01-04 02:53:10.000000,0,street
photo_000045,IMG_0045.ARW,2022-01-04 02:47:55,ARW,33.2,Sony A7 IV,24-120mm f/4,50,8.0,0.003125,200,"Austin, TX",night,/2022/2022-01-04/,[],"[""street""]",,1,rejected,True,6,2022-01-22 20:53:54.042695,0,street
photo_000046,IMG_0046.ARW,2022-01-04 01:55:43,ARW,16.64,Sony A7 IV,24-120mm f/4,50,5.6,0.004,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,1,unflagged,False,0,2022-01-04 01:55:43.000000,0,street
photo_000047,IMG_0047.ARW,2022-01-04 02:05:50,ARW,25.39,Sony A7 IV,24-120mm f/4,35,5.6,0.002,800,"Austin, TX",night,/2022/2022-01-04/,[],"[""street""]",,1,unflagged,False,0,2022-01-04 02:05:50.000000,0,street
photo_000048,IMG_0048.ARW,2022-01-04 02:37:24,ARW,29.95,Sony A7 IV,24-120mm f/4,24,5.6,0.008,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,2,unflagged,True,3,2022-01-12 17:37:13.405567,0,street
photo_000049,IMG_0049.ARW,2022-01-04 01:30:01,ARW,17.56,Sony A7 IV,24-120mm f/4,24,8.0,0.004,200,"Austin, TX",night,/2022/2022-01-04/,[],[],yellow,0,unflagged,False,0,2022-01-04 01:30:01.000000,0,street
photo_000050,IMG_0050.ARW,2022-01-04 01:41:04,ARW,21.15,Sony A7 IV,24-120mm f/4,24,8.0,0.002,400,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 01:41:04.000000,0,street
photo_000051,IMG_0051.ARW,2022-01-04 03:07:08,ARW,30.73,Sony A7 IV,24-120mm f/4,35,4.0,0.004,800,"Austin, TX",night,/2022/2022-01-04/,[],"[""architecture""]",,0,unflagged,True,6,2022-01-12 08:37:59.510729,0,street
photo_000052,IMG_0052.ARW,2022-01-04 01:56:34,ARW,34.77,Sony A7 IV,24-120mm f/4,35,4.0,0.003125,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 01:56:34.000000,0,street
photo_000053,IMG_0053.ARW,2022-01-04 03:37:47,ARW,20.36,Sony A7 IV,24-120mm f/4,35,4.0,0.003125,200,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 03:37:47.000000,0,street
photo_000054,IMG_0054.JPG,2022-01-04 03:39:26,JPG,5.18,Sony A7 IV,24-120mm f/4,24,8.0,0.002,1600,"Austin, TX",night,/2022/2022-01-04/,[],"[""documentary""]",,0,unflagged,False,0,2022-01-04 03:39:26.000000,0,street
photo_000055,IMG_0055.CR3,2022-01-11 01:54:23,CR3,15.8,Canon EOS R6,24-70mm f/2.8,35,8.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 01:54:23.000000,1,landscape
photo_000056,IMG_0056.CR3,2022-01-11 02:03:25,CR3,26.39,Canon EOS R6,24-70mm f/2.8,35,13.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 02:03:25.000000,1,landscape
photo_000057,IMG_0057.CR3,2022-01-11 03:05:42,CR3,43.45,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 03:05:42.000000,1,landscape
photo_000058,IMG_0058.CR3,2022-01-11 00:50:21,CR3,15.67,Canon EOS R6,24-70mm f/2.8,24,13.0,0.008,200,,night,/2022/2022-01-11/,[],"[""sunrise""]",,0,unflagged,False,0,2022-01-11 00:50:21.000000,1,landscape
photo_000059,IMG_0059.CR3,2022-01-11 01:37:13,CR3,30.77,Canon EOS R6,24-70mm f/2.8,16,8.0,5.0,200,,night,/2022/2022-01-11/,[],"[""travel""]",,0,unflagged,True,6,2022-01-24 11:03:14.623577,1,landscape
photo_000060,IMG_0060.JPG,2022-01-11 00:17:54,JPG,8.99,Canon EOS R6,24-70mm f/2.8,16,8.0,5.0,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 00:17:54.000000,1,landscape
photo_000061,IMG_0061.JPG,2022-01-11 01:07:42,JPG,6.15,Canon EOS R6,24-70mm f/2.8,16,16.0,0.008,100,,night,/2022/2022-01-11/,[],"[""mountain""]",,0,picked,False,0,2022-01-11 01:07:42.000000,1,landscape
photo_000062,IMG_0062.CR3,2022-01-11 01:37:20,CR3,23.66,Canon EOS R6,24-70mm f/2.8,14,11.0,0.008,100,,night,/2022/2022-01-11/,[],"[""nature""]",,1,unflagged,False,0,2022-01-11 01:37:20.000000,1,landscape
photo_000063,IMG_0063.CR3,2022-01-11 00:47:04,CR3,36.98,Canon EOS R6,24-70mm f/2.8,24,11.0,5.0,200,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 00:47:04.000000,1,landscape
photo_000064,IMG_0064.CR3,2022-01-11 00:28:32,CR3,25.03,Canon EOS R6,24-70mm f/2.8,24,8.0,0.008,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 00:28:32.000000,1,landscape
photo_000065,IMG_0065.JPG,2022-01-11 02:29:41,JPG,3.97,Canon EOS R6,24-70mm f/2.8,24,11.0,0.008,200,,night,/2022/2022-01-11/,[],"[""sunset""]",red,1,unflagged,False,0,2022-01-11 02:29:41.000000,1,landscape
photo_000066,IMG_0066.CR3,2022-01-11 03:43:06,CR3,42.52,Canon EOS R6,24-70mm f/2.8,16,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,3,unflagged,True,9,2022-01-16 20:39:03.244500,1,landscape
photo_000067,IMG_0067.CR3,2022-01-11 00:20:38,CR3,36.17,Canon EOS R6,24-70mm f/2.8,16,16.0,0.016666666666666666,400,,night,/2022/2022-01-11/,[],"[""sunrise""]",yellow,0,unflagged,False,0,2022-01-11 00:20:38.000000,1,landscape
photo_000068,IMG_0068.CR3,2022-01-11 02:24:38,CR3,42.73,Canon EOS R6,24-70mm f/2.8,35,8.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],yellow,2,unflagged,False,0,2022-01-11 02:24:38.000000,1,landscape
photo_000069,IMG_0069.CR3,2022-01-11 00:50:44,CR3,16.11,Canon EOS R6,24-70mm f/2.8,35,13.0,1.0,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 00:50:44.000000,1,landscape
photo_000070,IMG_0070.JPG,2022-01-11 01:27:28,JPG,2.52,Canon EOS R6,24-70mm f/2.8,14,11.0,0.004,100,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 01:27:28.000000,1,landscape
photo_000071,IMG_0071.CR3,2022-01-11 03:26:46,CR3,21.99,Canon EOS R6,24-70mm f/2.8,16,11.0,0.004,200,,night,/2022/2022-01-11/,[],[],,2,unflagged,False,0,2022-01-11 03:26:46.000000,1,landscape
photo_000072,IMG_0072.JPG,2022-01-11 02:09:43,JPG,9.98,Canon EOS R6,24-70mm f/2.8,35,11.0,0.004,400,,night,/2022/2022-01-11/,[],"[""travel""]",,1,unflagged,True,9,2022-01-12 21:49:44.921762,1,landscape
photo_000073,IMG_0073.CR3,2022-01-11 03:06:47,CR3,16.26,Canon EOS R6,24-70mm f/2.8,16,8.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,3,unflagged,False,0,2022-01-11 03:06:47.000000,1,landscape
photo_000074,IMG_0074.CR3,2022-01-11 02:42:07,CR3,38.59,Canon EOS R6,24-70mm f/2.8,16,11.0,5.0,100,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 02:42:07.000000,1,landscape
photo_000075,IMG_0075.CR3,2022-01-11 03:55:58,CR3,44.74,Canon EOS R6,24-70mm f/2.8,35,11.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],,2,unflagged,False,0,2022-01-11 03:55:58.000000,1,landscape
photo_000076,IMG_0076.CR3,2022-01-11 02:06:36,CR3,21.61,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],"[""sunset""]",,1,unflagged,False,0,2022-01-11 02:06:36.000000,1,landscape
photo_000077,IMG_0077.CR3,2022-01-11 00:22:54,CR3,44.85,Canon EOS R6,24-70mm f/2.8,14,16.0,5.0,200,,night,/2022/2022-01-11/,[],"[""mountain""]",,0,picked,False,0,2022-01-11 00:22:54.000000,1,landscape
photo_000078,IMG_0078.JPG,2022-01-11 03:54:35,JPG,3.79,Canon EOS R6,24-70mm f/2.8,24,8.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 03:54:35.000000,1,landscape
photo_000079,IMG_0079.CR3,2022-01-11 00:38:59,CR3,41.66,Canon EOS R6,24-70mm f/2.8,14,13.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],yellow,2,picked,True,5,2022-01-14 03:10:46.161718,1,landscape
photo_000080,IMG_0080.CR3,2022-01-11 02:44:48,CR3,35.5,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,2,unflagged,True,9,2022-01-19 15:13:24.421164,1,landscape
photo_000081,IMG_0081.CR3,2022-01-11 01:36:42,CR3,35.92,Canon EOS R6,24-70mm f/2.8,35,13.0,1.0,200,,night,/2022/2022-01-11/,[],"[""scenic""]",,0,picked,False,0,2022-01-11 01:36:42.000000,1,landscape
photo_000082,IMG_0082.CR3,2022-01-11 00:47:33,CR3,39.77,Canon EOS R6,24-70mm f/2.8,16,13.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 00:47:33.000000,1,landscape
photo_000083,IMG_0083.CR3,2022-01-11 02:19:46,CR3,15.19,Canon EOS R6,24-70mm f/2.8,16,13.0,0.008,200,,night,/2022/2022-01-11/,[],[],,0,rejected,False,0,2022-01-11 02:19:46.000000,1,landscape
photo_000084,IMG_0084.CR3,2022-01-11 00:09:10,CR3,38.4,Canon EOS R6,24-70mm f/2.8,24,8.0,0.008,200,,night,/2022/2022-01-11/,[],"[""landscape""]",,1,unflagged,False,0,2022-01-11 00:09:10.000000,1,landscape
photo_000085,IMG_0085.CR3,2022-01-11 03:31:38,CR3,18.08,Canon EOS R6,24-70mm f/2.8,35,11.0,5.0,200,,night,/2022/2022-01-11/,[],"[""travel""]",yellow,0,unflagged,False,0,2022-01-11 03:31:38.000000,1,landscape
photo_000086,IMG_0086.CR3,2022-01-11 02:27:07,CR3,25.38,Canon EOS R6,24-70mm f/2.8,16,13.0,0.008,100,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 02:27:07.000000,1,landscape
photo_000087,IMG_0087.CR3,2022-01-11 02:02:14,CR3,37.75,Canon EOS R6,24-70mm f/2.8,35,16.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],,0,unflagged,True,8,2022-01-13 08:03:17.724077,1,landscape
photo_000088,IMG_0088.CR3,2022-01-11 02:13:49,CR3,35.41,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],"[""mountain""]",,0,rejected,True,6,2022-01-14 08:04:28.446344,1,landscape
photo_000089,IMG_0089.CR3,2022-01-11 03:47:27,CR3,21.39,Canon EOS R6,24-70mm f/2.8,35,11.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 03:47:27.000000,1,landscape
photo_000090,IMG_0090.JPG,2022-01-11 02:04:25,JPG,8.95,Canon EOS R6,24-70mm f/2.8,35,11.0,0.016666666666666666,400,,night,/2022/2022-01-11/,[],"[""landscape""]",,1,picked,False,0,2022-01-11 02:04:25.000000,1,landscape
photo_000091,IMG_0091.CR3,2022-01-11 00:55:20,CR3,42.63,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,1,unflagged,False,0,2022-01-11 00:55:20.000000,1,landscape
photo_000092,IMG_0092.CR3,2022-01-11 03:18:07,CR3,21.02,Canon EOS R6,24-70mm f/2.8,14,8.0,0.008,200,,night,/2022/2022-01-11/,[],[],,0,unflagged,True,5,2022-01-12 15:56:11.118451,1,landscape
photo_000093,IMG_0093.JPG,2022-01-11 03:53:44,JPG,7.56,Canon EOS R6,24-70mm f/2.8,16,11.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],"[""travel""]",red,1,unflagged,True,5,2022-01-16 23:58:16.018315,1,landscape
photo_000094,IMG_0094.CR3,2022-01-11 03:37:25,CR3,24.79,Canon EOS R6,24-70mm f/2.8,24,13.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 03:37:25.000000,1,landscape
photo_000095,IMG_0095.CR3,2022-01-11 02:14:21,CR3,32.03,Canon EOS R6,24-70mm f/2.8,14,8.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],"[""scenic""]",,1,unflagged,True,5,2022-01-31 08:36:27.964131,1,landscape
photo_000096,IMG_0096.CR3,2022-01-11 01:57:49,CR3,36.42,Canon EOS R6,24-70mm f/2.8,14,11.0,1.0,200,,night,/2022/2022-01-11/,[],[],red,0,picked,False,0,2022-01-11 01:57:49.000000,1,landscape
photo_000097,IMG_0097.CR3,2022-01-11 01:15:06,CR3,28.57,Canon EOS R6,24-70mm f/2.8,14,13.0,1.0,100,,night,/2022/2022-01-11/,[],"[""sunrise""]",,0,picked,True,2,2022-01-14 00:56:04.664880,1,landscape
photo_000098,IMG_0098.CR3,2022-01-11 00:11:49,CR3,25.11,Canon EOS R6,24-70mm f/2.8,16,13.0,5.0,100,,night,/2022/2022-01-11/,[],[],,1,unflagged,False,0,2022-01-11 00:11:49.000000,1,landscape
photo_000099,IMG_0099.JPG,2022-01-11 03:43:59,JPG,9.97,Canon EOS R6,24-70mm f/2.8,24,11.0,0.016666666666666666,200,,night,/2022/2022-01-11/,[],[],yellow,0,unflagged,False,0,2022-01-11 03:43:59.000000,1,landscape
photo_000100,IMG_0100.CR3,2022-01-11 02:55:40,CR3,28.88,Canon EOS R6,24-70mm f/2.8,24,8.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],red,1,picked,False,0,2022-01-11 02:55:40.000000,1,landscape
photo_000101,IMG_0101.CR3,2022-01-11 02:50:17,CR3,16.2,Canon EOS R6,24-70mm f/2.8,24,11.0,5.0,100,,night,/2022/2022-01-11/,[],[],red,0,unflagged,True,9,2022-01-18 22:42:31.897617,1,landscape
photo_000102,IMG_0102.CR3,2022-01-11 03:28:02,CR3,42.27,Canon EOS R6,24-70mm f/2.8,24,13.0,0.004,100,,night,/2022/2022-01-11/,[],[],,0,rejected,True,7,2022-01-15 06:14:32.407311,1,landscape
photo_000103,IMG_0103.CR3,2022-01-11 00:39:38,CR3,22.74,Canon EOS R6,24-70mm f/2.8,24,8.0,5.0,100,,night,/2022/2022-01-11/,[],[],,0,picked,False,0,2022-01-11 00:39:38.000000,1,landscape
photo_000104,IMG_0104.CR3,2022-01-11 00:28:58,CR3,17.2,Canon EOS R6,24-70mm f/2.8,14,16.0,0.016666666666666666,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 00:28:58.000000,1,landscape
photo_000105,IMG_0105.JPG,2022-01-11 03:32:09,JPG,7.65,Canon EOS R6,24-70mm f/2.8,35,11.0,0.004,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 03:32:09.000000,1,landscape
photo_000106,IMG_0106.CR3,2022-01-11 02:45:05,CR3,39.17,Canon EOS R6,24-70mm f/2.8,24,11.0,1.0,100,,night,/2022/2022-01-11/,[],"[""nature""]",,2,unflagged,False,0,2022-01-11 02:45:05.000000,1,landscape
photo_000107,IMG_0107.CR3,2022-01-11 03:33:33,CR3,43.1,Canon EOS R6,24-70mm f/2.8,14,8.0,0.008,100,,night,/2022/2022-01-11/,[],[],,0,unflagged,False,0,2022-01-11 03:33:33.000000,1,landscape
